collision_count,executed_path_length,execution_steps,failed_planner_calls,failure_reason,final_goal_distance,maximum_planning_time_s,planner,planner_artificial_obstacles_inserted,planner_backtrack_failed,planner_backtrack_tries,planner_blocked_edges,planner_blocked_steps,planner_changed_cells,planner_changed_edges,planner_collision_checks,planner_expanded_nodes,planner_iterations,planner_map_update_time_s,planner_max_active_virtual_obstacles,planner_nodes,planner_path_cost,planner_path_reuse_ratio,planner_planning_effort,planner_recovery_events,planner_repair_events,planner_samples,planner_search_time_s,planner_selection_changes_due_to_midpoint_checking,planner_state_reused,planner_unique_midpoint_rejections,planner_updated_vertices,planner_virtual_obstacles_created,planning_calls,replans,scenario,seed,sensed_obstacle_ratio,success,total_planning_time_s
0,36.40000000000002,364,0,,0.4896832798135636,0.09146163900004467,r2apf,0,False,0,,0,,,,,,,0,,,,338.0,0,0,,,3,,11,,0,8,8,A,5023,0.4625,True,0.4651988120003807
0,36.900000000000055,369,0,,0.4830708388860675,0.0906689590001406,r2apf,0,False,0,,0,,,,,,,0,,,,253.0,0,0,,,0,,3,,0,6,6,A,5024,0.45,True,0.43947471500086976
0,37.10000000000004,371,0,,0.4504853310995102,0.10455559300044115,r2apf,0,False,0,,0,,,,,,,0,,,,236.0,0,0,,,3,,7,,0,6,6,A,5025,0.4875,True,0.4400155770008496
0,40.80000000000023,408,0,,0.48482705989093283,0.12432623600034276,r2apf,3,False,0,,0,,,,,,,3,,,0.2222222222222222,365.0,3,3,,,2,,3,,3,8,8,A,5026,0.45,True,0.573105266001221
0,38.50000000000006,385,0,,0.49634837661228903,0.07437871299953258,r2apf,0,False,0,,0,,,,,,,0,,,,365.0,0,0,,,3,,10,,0,9,9,A,5027,0.45,True,0.4542914869989545
0,36.4,364,0,,0.4350953775490355,0.07490712999970128,r2apf,0,False,0,,0,,,,,,,0,,,,306.0,0,0,,,2,,9,,0,8,8,A,5028,0.4,True,0.3799345139977959
0,44.64840793644811,448,2,,0.49182110104353327,0.11966124600076,r2apf,4,False,2,,0,,,,,,,4,,,0.18333333333333335,506.0,4,2,,,6,,21,,4,16,16,A,5029,0.575,True,1.1928409050033224
0,39.000000000000156,390,0,,0.4681500462396391,0.11689613500038831,r2apf,0,False,0,,0,,,,,,,0,,,,462.0,0,0,,,5,,12,,0,10,10,A,5030,0.5375,True,0.7075019170006271
0,37.20000000000014,372,0,,0.47055734066536276,0.09031154100011918,r2apf,0,False,0,,0,,,,,,,0,,,,396.0,0,0,,,3,,16,,0,11,11,A,5031,0.4375,True,0.739223292999668
0,37.30000000000008,373,0,,0.4374114135385597,0.10671959700084699,r2apf,0,False,0,,0,,,,,,,0,,,,318.0,0,0,,,4,,6,,0,8,8,A,5032,0.4875,True,0.4902238250006121
0,40.166521660883966,402,1,,0.4422903679830753,0.11513667700000951,r2apf,3,False,1,,0,,,,,,,3,,,0.25,367.0,3,2,,,6,,17,,3,9,9,A,5033,0.4875,True,0.5257953030004501
