planner,scenario,episodes,successes,success_rate,collision_episodes,collision_episode_rate,planning_calls_total,failed_planner_calls_total,total_planning_time_s_sum,planning_time_per_call_s,collision_count_mean,collision_count_std,collision_count_median,collision_count_p95,collision_count_max,executed_path_length_mean,executed_path_length_std,executed_path_length_median,executed_path_length_p95,executed_path_length_max,execution_steps_mean,execution_steps_std,execution_steps_median,execution_steps_p95,execution_steps_max,final_goal_distance_mean,final_goal_distance_std,final_goal_distance_median,final_goal_distance_p95,final_goal_distance_max,planning_calls_mean,planning_calls_std,planning_calls_median,planning_calls_p95,planning_calls_max,failed_planner_calls_mean,failed_planner_calls_std,failed_planner_calls_median,failed_planner_calls_p95,failed_planner_calls_max,replans_mean,replans_std,replans_median,replans_p95,replans_max,total_planning_time_s_mean,total_planning_time_s_std,total_planning_time_s_median,total_planning_time_s_p95,total_planning_time_s_max,maximum_planning_time_s_mean,maximum_planning_time_s_std,maximum_planning_time_s_median,maximum_planning_time_s_p95,maximum_planning_time_s_max,successful_executed_path_length_mean,successful_executed_path_length_std,successful_executed_path_length_median,successful_executed_path_length_p95,successful_executed_path_length_max,planner_unique_midpoint_rejections_sum,planner_unique_midpoint_rejections_mean,planner_unique_midpoint_rejections_max,planner_selection_changes_due_to_midpoint_checking_sum,planner_selection_changes_due_to_midpoint_checking_mean,planner_selection_changes_due_to_midpoint_checking_max,planner_repair_events_sum,planner_repair_events_mean,planner_repair_events_max,planner_recovery_events_sum,planner_recovery_events_mean,planner_recovery_events_max,planner_artificial_obstacles_inserted_sum,planner_artificial_obstacles_inserted_mean,planner_artificial_obstacles_inserted_max,planner_path_reuse_ratio_observations,planner_path_reuse_ratio_mean,planner_path_reuse_ratio_median
r2apf,A,500,500,1.0,0,0.0,4670,482,294.10292661697713,0.06297707208072316,0.0,0.0,0.0,0.0,0.0,41.15808939896386,5.928929048562686,38.90000000000015,52.3537789823797,82.33644903199502,411.86,59.89172260733321,389.0,525.05,829.0,0.44838739613958295,0.028483163372196176,0.44865471244661903,0.49213201418572544,0.499074463485766,9.34,3.997042995191673,9.0,16.0,30.0,0.964,1.931363334190984,0.0,5.0,17.0,9.34,3.997042995191673,9.0,16.0,30.0,0.5882058532339542,0.36407915048174455,0.5085688300009679,1.2782610467500946,2.946380739998858,0.110347068825984,0.05005195982021702,0.09842328749982696,0.17433606940066945,0.4835361139994347,41.15808939896386,5.928929048562686,38.90000000000015,52.3537789823797,82.33644903199502,4390.0,8.78,32.0,1418.0,2.836,15.0,762.0,1.524,27.0,1244.0,2.488,44.0,1244.0,2.488,44.0,262,0.24855930450228816,0.25
r2apf,B,500,500,1.0,0,0.0,5744,677,494.2593442750058,0.08604793598102468,0.0,0.0,0.0,0.0,0.0,42.31408023733175,7.831832991863233,39.400000000000134,56.37111545889483,96.48904295102268,423.56,79.28838310490877,394.0,566.05,974.0,0.45088831026024573,0.027521985525144062,0.4507484272302389,0.49444635763985134,0.4990942332667255,11.488,4.89466766421237,11.0,21.0,40.0,1.354,2.7444029396191043,0.0,6.0,22.0,11.488,4.89466766421237,11.0,21.0,40.0,0.9885186885500116,0.5953220902226555,0.8722911735003436,2.0512585681502054,4.847328375994039,0.1539629132759619,0.0668562157746917,0.13692972399985584,0.2620284225495197,0.7493743869999889,42.31408023733175,7.831832991863233,39.400000000000134,56.37111545889483,96.48904295102268,7172.0,14.344,52.0,2156.0,4.312,22.0,909.0,1.818,27.0,1586.0,3.172,45.0,1586.0,3.172,45.0,289,0.24230442223314666,0.2333333333333333
r2apf,C,500,499,0.998,0,0.0,7155,1104,810.7091469089337,0.11330665924653162,0.0,0.0,0.0,0.0,0.0,45.078193207976945,10.255693154354393,41.50000000000015,65.88483530184791,98.68007230670636,451.476,103.93261953210653,415.0,664.1999999999998,1000.0,0.4901010358328511,0.8831606469459703,0.44999275149583057,0.4952960533871339,20.187754991446003,14.31,6.131646939312207,13.0,26.0,49.0,2.208,3.8107452760737286,1.0,10.0,33.0,14.31,6.131646939312207,13.0,26.0,49.0,1.6214182938178674,0.9578119904927032,1.3593999900003837,3.33543362995715,7.394445538999207,0.21228299810596582,0.09543450196182997,0.18552464950062125,0.3902780990996688,0.936503332999564,44.97077461258871,9.980455047792535,41.500000000000135,65.70906716973748,97.28620714605844,11175.0,22.35,82.0,3286.0,6.572,29.0,1334.0,2.668,38.0,2438.0,4.876,60.0,2438.0,4.876,60.0,347,0.24145171344361047,0.2333333333333333
r2apf,D,500,499,0.998,0,0.0,5483,685,417.5292122109877,0.07614977424967859,0.0,0.0,0.0,0.0,0.0,42.26214596633566,8.236162800113588,39.13326083044201,58.87147902526551,98.74929521081806,423.058,83.48176475190367,391.5,591.3999999999996,1000.0,0.49646900590540294,1.0731261603853492,0.44849577469882884,0.49313484969379895,24.436197943986578,10.966,5.207598502604503,10.0,20.0,49.0,1.37,3.1433838014863684,0.0,7.0,34.0,10.966,5.207598502604503,10.0,20.0,49.0,0.8350584244219753,0.6239752101777106,0.6915228949992525,1.7857167616462897,8.701543831997697,0.13411771178397247,0.06981392628832592,0.1169201030006661,0.23997859714909273,1.1493050219996803,42.148945266446916,7.8454143415246405,39.10000000000019,57.7577678475208,93.1658094205651,6062.0,12.124,59.0,1868.0,3.736,21.0,890.0,1.78,62.0,1575.0,3.15,96.0,1575.0,3.15,96.0,280,0.24690790611670438,0.24370039682539674
r2apf,E,500,498,0.996,0,0.0,6325,751,635.868772042968,0.1005326121807064,0.0,0.0,0.0,0.0,0.0,42.888690898648825,8.466521059379241,39.800000000000125,58.9639237969961,99.13526202887626,429.35,85.76212324544638,398.0,591.7499999999993,1000.0,0.4898277753605587,0.6796534269773045,0.4496986826316583,0.49623441372524535,14.128276350474048,12.65,5.631245141501777,12.0,22.0,50.0,1.502,3.1192074169281594,0.0,7.0,27.0,12.65,5.631245141501777,12.0,22.0,50.0,1.271737544085936,0.8366493985633473,1.0795898329997726,2.6967972896534764,8.321832018003988,0.17971111221200772,0.08828204227605595,0.1584581380002419,0.30001976025041566,1.0139044679999645,42.662987666974686,7.694759054570198,39.800000000000075,58.553263867074094,98.41341305961332,9065.0,18.13,96.0,2657.0,5.314,27.0,1106.0,2.212,40.0,1857.0,3.714,67.0,1857.0,3.714,67.0,309,0.24843346615356027,0.2464285714285713
