planner,episodes,successes,success_rate,collision_episodes,collision_episode_rate,planning_calls_total,failed_planner_calls_total,total_planning_time_s_sum,planning_time_per_call_s,collision_count_mean,collision_count_std,collision_count_median,collision_count_p95,collision_count_max,executed_path_length_mean,executed_path_length_std,executed_path_length_median,executed_path_length_p95,executed_path_length_max,execution_steps_mean,execution_steps_std,execution_steps_median,execution_steps_p95,execution_steps_max,final_goal_distance_mean,final_goal_distance_std,final_goal_distance_median,final_goal_distance_p95,final_goal_distance_max,planning_calls_mean,planning_calls_std,planning_calls_median,planning_calls_p95,planning_calls_max,failed_planner_calls_mean,failed_planner_calls_std,failed_planner_calls_median,failed_planner_calls_p95,failed_planner_calls_max,replans_mean,replans_std,replans_median,replans_p95,replans_max,total_planning_time_s_mean,total_planning_time_s_std,total_planning_time_s_median,total_planning_time_s_p95,total_planning_time_s_max,maximum_planning_time_s_mean,maximum_planning_time_s_std,maximum_planning_time_s_median,maximum_planning_time_s_p95,maximum_planning_time_s_max,successful_executed_path_length_mean,successful_executed_path_length_std,successful_executed_path_length_median,successful_executed_path_length_p95,successful_executed_path_length_max,planner_unique_midpoint_rejections_sum,planner_unique_midpoint_rejections_mean,planner_unique_midpoint_rejections_max,planner_selection_changes_due_to_midpoint_checking_sum,planner_selection_changes_due_to_midpoint_checking_mean,planner_selection_changes_due_to_midpoint_checking_max,planner_repair_events_sum,planner_repair_events_mean,planner_repair_events_max,planner_recovery_events_sum,planner_recovery_events_mean,planner_recovery_events_max,planner_artificial_obstacles_inserted_sum,planner_artificial_obstacles_inserted_mean,planner_artificial_obstacles_inserted_max,planner_path_reuse_ratio_observations,planner_path_reuse_ratio_mean,planner_path_reuse_ratio_median
apf,2500,162,0.0648,2,0.0008,15056,7169,5257.658767275832,0.34920687880418655,0.0008,0.028278611563313703,0.0,0.0,1.0,16.77482423028288,11.194312576811782,13.797364363253912,40.49999999999991,99.99999999999882,168.2912,111.99962486074487,138.0,405.0,1000.0,24.70117304656444,8.537838392128723,26.978256651998613,33.87890584514228,35.624984095630765,6.0224,1.710400078160355,6.0,9.0,13.0,2.8676,0.7827613468551269,3.0,3.0,7.0,6.0224,1.710400078160355,6.0,9.0,13.0,2.103063506910333,1.4993362816881726,1.7539665375043114,5.010919743349584,8.488459499993041,0.6991528117115471,0.48659355141089217,0.5859629284987022,1.6240913991474368,2.801961017001304,44.19027734882581,7.533967010051163,42.25000000000017,57.7100000000003,99.99999999999882,,,,,,,,,,,,,,,,,,
astar,2500,2500,1.0,14,0.0056,25593,0,131.2715373842774,0.005129196943862673,0.0072,0.10174625752512054,0.0,0.0,2.0,41.07741621600409,2.3937211264129394,40.70131496000179,45.487486072952365,58.80292114749656,414.0388,24.64648198404137,410.0,460.0,594.0,0.45429326553836363,0.0294455818706699,0.4580093759660298,0.4957032504706758,0.4999791792240741,10.2372,3.2086530416573082,10.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,10.2372,3.2086530416573082,10.0,16.0,24.0,0.05250861495371096,0.013351976612349882,0.051643207996676155,0.07477840785068103,0.1207810610030719,0.01255082214642966,0.004047388386225603,0.01171033700120455,0.020373613699120947,0.0411759199996595,41.07741621600409,2.3937211264129394,40.70131496000179,45.487486072952365,58.80292114749656,,,,,,,,,,,,,,,,,,
dstar_lite,2500,2500,1.0,8,0.0032,24617,3,596.2707518459065,0.02422190973091386,0.004,0.07474111648749648,0.0,0.0,2.0,40.8133159284208,2.3872941042257256,40.4000794768924,45.232844134928015,54.61725950857339,410.9112,24.547446820762588,407.0,457.0,551.0,0.4659943237015958,0.027551833149702325,0.4724982016904001,0.49706405236641565,0.4999923737039602,9.8468,3.1311421846591734,10.0,15.049999999999727,22.0,0.0012,0.03462715142552645,0.0,0.0,1.0,9.8468,3.1311421846591734,10.0,15.049999999999727,22.0,0.2385083007383626,0.08480254571600775,0.22319818999858393,0.4009093303520785,1.0341990509996322,0.07703539533964426,0.04563299612093276,0.06727095049973285,0.14948974020107914,0.8555239659999643,40.8133159284208,2.3872941042257256,40.4000794768924,45.232844134928015,54.61725950857339,,,,,,,,,,,,,,,,,,
r2apf,2500,2124,0.8496,427,0.1708,25990,2473,2112.080640063412,0.08126512658958876,0.3872,1.067019949499095,0.0,3.0,10.0,37.35621042471466,7.501322610618488,38.50000000000013,46.036891169447046,58.000000000000455,373.832,74.76058476238403,385.0,461.0,580.0,3.80965642203162,8.24930438414269,0.457048183446923,25.850242685301414,33.05307815086628,10.396,3.536578424802978,10.0,17.0,30.0,0.9892,1.4362132304700967,0.0,4.0,9.0,10.396,3.536578424802978,10.0,17.0,30.0,0.8448322560253647,0.4738675866909379,0.7646422665020509,1.7250494174493702,3.480032873012533,0.13620886001680116,0.04160970243021322,0.13226973350174376,0.20841485565069873,0.3539703419992293,40.03172042386875,3.283503892102109,38.95000000000009,46.37455033987062,58.000000000000455,32816.0,13.1264,59.0,9686.0,3.8744,18.0,3361.0,1.3444,12.0,5834.0,2.3336,17.0,5834.0,2.3336,17.0,1467.0,0.23608497968560208,0.2261904761904761
rapf,2500,1927,0.7708,803,0.3212,39121,3739,1344.8122608152817,0.0343757128093679,2.6972,35.479822988505994,0.0,6.0,834.0,36.15485907837351,9.840564868535905,38.20000000000008,47.90083695847814,70.21650928595162,363.5272,101.93616852295978,382.0,480.0499999999997,1000.0,6.002513377521987,10.548882650971251,0.464676717550983,29.89731843884953,35.70394047551239,15.6484,7.90337666982373,14.0,31.0,60.0,1.4956,1.7106581132629013,1.0,5.0,10.0,15.6484,7.90337666982373,14.0,31.0,60.0,0.5379249043261126,0.4169815968364104,0.43247128650182276,1.343340458947659,3.3388062700068986,0.052371885518408406,0.01666915495407507,0.05201540100097185,0.0808887613497063,0.1197032679992844,40.738558192322685,4.2068852524027385,39.30000000000011,48.61654894653416,70.21650928595162,,,,,,,,,,7455.0,2.982,20.0,7455.0,2.982,20.0,,,
rrt_star,2500,2500,1.0,573,0.2292,26797,36,3637.403160546879,0.1357391932136761,0.5416,1.2338875278454473,0.0,3.0,12.0,44.0312602959156,5.996706340264843,42.45000000000014,55.50000000000031,89.29999999999934,440.314,59.9676533789735,424.5,555.0,893.0,0.4503515259487597,0.02832307984307614,0.44987182023299155,0.49482082649762044,0.4999759333545613,10.7188,3.599904204852352,10.0,17.0,28.0,0.0144,0.11915670072526804,0.0,0.0,1.0,10.7188,3.599904204852352,10.0,17.0,28.0,1.4549612642187515,0.9103276118850203,1.23394422149795,3.2120989036006877,9.857152124990536,0.2543960438744027,0.12373629414496615,0.22457907299940416,0.4969621103011377,1.3048977829967043,44.0312602959156,5.996706340264843,42.45000000000014,55.50000000000031,89.29999999999934,,,,,,,,,,,,,,,,,,
