planner,scenario,episodes,successes,success_rate,collision_episodes,collision_episode_rate,planning_calls_total,failed_planner_calls_total,total_planning_time_s_sum,planning_time_per_call_s,collision_count_mean,collision_count_std,collision_count_median,collision_count_p95,collision_count_max,executed_path_length_mean,executed_path_length_std,executed_path_length_median,executed_path_length_p95,executed_path_length_max,execution_steps_mean,execution_steps_std,execution_steps_median,execution_steps_p95,execution_steps_max,final_goal_distance_mean,final_goal_distance_std,final_goal_distance_median,final_goal_distance_p95,final_goal_distance_max,planning_calls_mean,planning_calls_std,planning_calls_median,planning_calls_p95,planning_calls_max,failed_planner_calls_mean,failed_planner_calls_std,failed_planner_calls_median,failed_planner_calls_p95,failed_planner_calls_max,replans_mean,replans_std,replans_median,replans_p95,replans_max,total_planning_time_s_mean,total_planning_time_s_std,total_planning_time_s_median,total_planning_time_s_p95,total_planning_time_s_max,maximum_planning_time_s_mean,maximum_planning_time_s_std,maximum_planning_time_s_median,maximum_planning_time_s_p95,maximum_planning_time_s_max,successful_executed_path_length_mean,successful_executed_path_length_std,successful_executed_path_length_median,successful_executed_path_length_p95,successful_executed_path_length_max,planner_unique_midpoint_rejections_sum,planner_unique_midpoint_rejections_mean,planner_unique_midpoint_rejections_max,planner_selection_changes_due_to_midpoint_checking_sum,planner_selection_changes_due_to_midpoint_checking_mean,planner_selection_changes_due_to_midpoint_checking_max,planner_repair_events_sum,planner_repair_events_mean,planner_repair_events_max,planner_recovery_events_sum,planner_recovery_events_mean,planner_recovery_events_max,planner_artificial_obstacles_inserted_sum,planner_artificial_obstacles_inserted_mean,planner_artificial_obstacles_inserted_max,planner_path_reuse_ratio_observations,planner_path_reuse_ratio_mean,planner_path_reuse_ratio_median
apf,A,500,68,0.136,0,0.0,2984,1327,869.4301125409893,0.2913639787335755,0.0,0.0,0.0,0.0,0.0,20.042547776952393,12.066063300278667,16.7828621210704,43.100000000000065,58.40000000000034,200.94,120.60336123625646,168.5,431.0,584.0,21.508376885876547,10.238365463023628,24.252674096637378,32.80414910543109,35.55240611164259,5.968,1.7346452052151622,6.0,9.0,12.0,2.654,1.0660943270782641,3.0,3.0,5.0,5.968,1.7346452052151622,6.0,9.0,12.0,1.7388602250819785,1.2527845427256767,1.5405376845019418,4.074275913197923,5.1836861170031625,0.5763384318799908,0.40818079152260306,0.5124356689993874,1.341766094550803,1.830297124000936,42.186033223948755,4.397115414583112,41.000000000000135,49.360000000000255,58.40000000000034,,,,,,,,,,,,,,,,,,
apf,B,500,30,0.06,1,0.002,2995,1445,1009.5574695170271,0.3370809581025132,0.002,0.044721359549995794,0.0,0.0,1.0,15.969091480039253,10.252777574528743,13.000000000000004,40.33500000000012,66.80000000000027,160.238,102.6061860456262,130.5,403.3499999999997,668.0,25.197855866471276,8.29607613972186,27.50544572756803,33.836551944541775,35.624984095630765,5.99,1.6208498723253904,6.0,9.0,12.0,2.89,0.7530166453248378,3.0,3.0,6.0,5.99,1.6208498723253904,6.0,9.0,12.0,2.019114939034054,1.4099846279222672,1.6341500504995565,4.763404335998617,7.136251029001869,0.6717946643920404,0.45409159909373853,0.5498291745007009,1.5563120308001999,2.067451003000315,44.37908660176393,5.600168615204193,43.30000000000017,51.79317194967723,66.80000000000027,,,,,,,,,,,,,,,,,,
apf,C,500,4,0.008,0,0.0,2982,1522,1230.1730003249177,0.4125328639587249,0.0,0.0,0.0,0.0,0.0,14.175266605949826,9.33969389543457,11.999964614694637,30.13623527427091,99.98670375227064,142.322,93.56505306100465,120.5,302.0,1000.0,27.30308444090333,5.702499911199185,28.430322398563774,34.32333978788664,35.624984095630765,5.964,1.6877205934642163,5.0,9.0,12.0,3.044,0.4271169134036147,3.0,4.0,7.0,5.964,1.6877205934642163,5.0,9.0,12.0,2.460346000649835,1.6980828989549244,2.1261910420016648,5.968830187394629,8.488459499993041,0.8202591382118007,0.5567349738546898,0.7072561554996355,1.9843505348508177,2.801961017001304,49.00020388395365,7.549281294198072,47.05040776790699,57.97500000000044,59.70000000000048,,,,,,,,,,,,,,,,,,
apf,D,500,47,0.094,0,0.0,3061,1390,976.7536584540139,0.3190962621542025,0.0,0.0,0.0,0.0,0.0,18.484151665186385,13.126771163054112,14.472268662938841,44.20000000000017,99.99999999999882,185.372,131.29314298465698,145.0,442.0,1000.0,23.38478723632707,9.449482048759352,26.10619405799709,33.35972708824976,35.55240611164259,6.122,1.7836700810171795,6.0,10.0,13.0,2.78,0.8701231110922834,3.0,3.0,5.0,6.122,1.7836700810171795,6.0,10.0,13.0,1.953507316908028,1.402446572050485,1.5765735410004709,4.797341695301109,7.5667289110024285,0.6518273706119653,0.45242947379599546,0.5413983654998447,1.573503906100631,2.048998649002897,46.75109058920276,11.209875976991851,43.500000000000185,60.94113986481423,99.99999999999882,,,,,,,,,,,,,,,,,,
apf,E,500,13,0.026,1,0.002,3034,1485,1171.7445264388843,0.3862045242053014,0.002,0.044721359549995794,0.0,0.0,1.0,15.203063623286553,9.684634390011238,12.873330451232025,32.8093217770953,99.99999999999854,152.584,96.98587249143995,129.5,329.0,1000.0,26.111760803243957,6.972973646942197,27.675047525397467,34.077563685500834,35.624984095630765,6.068,1.7220065659649655,6.0,9.0,13.0,2.97,0.5742469146961751,3.0,3.0,5.0,6.068,1.7220065659649655,6.0,9.0,13.0,2.3434890528777688,1.5817676098655147,2.0159709324998403,5.472371966943865,7.595906192000257,0.7755444534619382,0.5095646568714132,0.6792324015023041,1.7385347933468427,2.5142344429987133,43.50000000000019,5.008160008093526,43.70000000000013,51.50000000000031,56.00000000000038,,,,,,,,,,,,,,,,,,
astar,A,500,500,1.0,2,0.004,4154,0,20.848649118041955,0.0050189333457010005,0.006,0.09991980752519365,0.0,0.0,2.0,40.53317179747929,2.23764486453578,40.25363251024653,44.00451662320346,58.80292114749656,407.858,22.93673961242304,405.0,445.0,594.0,0.45492044206356486,0.030106795831010058,0.4587587263125117,0.496783961760455,0.4999791792240741,8.308,2.5858284974135604,8.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,8.308,2.5858284974135604,8.0,13.0,16.0,0.04169729823608391,0.01011597961589163,0.042279070999029444,0.057319218051452445,0.1077326280010311,0.011603719165977916,0.003854665711485853,0.01075166349983185,0.019249794849611094,0.0304491919996507,40.53317179747929,2.23764486453578,40.25363251024653,44.00451662320346,58.80292114749656,,,,,,,,,,,,,,,,,,
astar,B,500,500,1.0,3,0.006,5124,0,25.72056691799296,0.00501962664285577,0.006,0.07730428127734981,0.0,0.0,1.0,41.053583870893775,2.33080434661239,40.66224676591108,45.81705818801315,51.22049117227348,413.798,23.93179176983264,409.5,461.04999999999995,517.0,0.4553901953724599,0.029971730380196134,0.4605664348363438,0.49600452312587473,0.4999498556207845,10.248,2.8898440090761968,10.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,10.248,2.8898440090761968,10.0,15.0,19.0,0.051441133835985926,0.010549486910190572,0.0506875214996398,0.06910151990241498,0.1027093929969851,0.012229959485961395,0.0038544415654508525,0.011185561500496901,0.020037926250824935,0.0329118150002614,41.053583870893775,2.33080434661239,40.66224676591108,45.81705818801315,51.22049117227348,,,,,,,,,,,,,,,,,,
astar,C,500,500,1.0,5,0.01,6074,0,32.148864054062855,0.005292865336526648,0.014,0.14780965932841317,0.0,0.0,2.0,41.66780862408763,2.577071391295406,41.19795152061059,45.95819106922805,54.410036516057616,420.706,26.456065671630828,416.0,465.0,549.0,0.45414634843062346,0.02890170700705052,0.4574316463266437,0.4956303219555402,0.4999660081855344,12.148,3.2501111434672167,12.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,12.148,3.2501111434672167,12.0,18.0,24.0,0.06429772810812572,0.011994450422572408,0.0633773355020821,0.08464018225276951,0.1137891180005681,0.013636876248048744,0.003943890447859347,0.012984910499653751,0.02138727015062605,0.0285809090019029,41.66780862408763,2.577071391295406,41.19795152061059,45.95819106922805,54.410036516057616,,,,,,,,,,,,,,,,,,
astar,D,500,500,1.0,2,0.004,4684,0,24.018351679045715,0.005127743740189094,0.004,0.06318214912406725,0.0,0.0,1.0,40.77710060546848,2.122079896932348,40.51212462710934,44.401692950412844,53.167790217724885,410.716,21.861912781385847,408.0,448.04999999999995,539.0,0.45132658892732525,0.029326515561133148,0.45339695401221924,0.49396438600288406,0.4994403727816112,9.368,2.782095633191722,9.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,9.368,2.782095633191722,9.0,14.0,21.0,0.04803670335809143,0.010400685183942004,0.047363200003019246,0.06444229070038997,0.1207810610030719,0.012233664870065648,0.003916238274034724,0.01124320649796565,0.019530883548941273,0.0282479939996846,40.77710060546848,2.122079896932348,40.51212462710934,44.401692950412844,53.167790217724885,,,,,,,,,,,,,,,,,,
astar,E,500,500,1.0,2,0.004,5557,0,28.535105615133922,0.005134983914906231,0.006,0.09991980752519365,0.0,0.0,2.0,41.35541618209125,2.509337812225726,40.90104744279181,45.91656043609325,52.66749971142044,417.116,25.729254421108518,412.0,465.04999999999995,532.0,0.4556827528978447,0.028804686291523995,0.4607517414986608,0.4961923759803396,0.4998677788676906,11.114,3.0501821621740706,11.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,11.114,3.0501821621740706,11.0,16.0,22.0,0.05707021123026784,0.011345897860821479,0.0563168459993903,0.07573001884775289,0.1097205420010141,0.013049890962094602,0.004347127597835474,0.01206305600135235,0.021039406750423924,0.0411759199996595,41.35541618209125,2.509337812225726,40.90104744279181,45.91656043609325,52.66749971142044,,,,,,,,,,,,,,,,,,
